Associated Gene Name,Chromosome/scaffold name,Gene Start (bp),Gene End (bp)
Gm18187,5,3041627,3042711
Gtf3c2,5,31156005,31180144
Gm15147,X,154198754,154199236
1810019D21Rik,8,106135400,106138525
Arfrp1,2,181357690,181365404
Gm5060,X,154226501,154227099
Gm15176,X,157604033,157604167
Gm14231,2,156789812,156790403
Gm6881,X,74486589,74487421
Gm13877,2,103837101,103837517
Gm15175,X,157604351,157604482
Trav5d-4,14,53001713,53002232
Nr1i3,1,171213970,171220701
Gm15173,X,157612689,157613121
Gm14230,2,156833049,156839892
Gm29440,7,30885031,30886446
Esrp2,8,106130319,106136974
Gm44415,6,87138741,87140852
Rbbp7,X,162760402,162779092
Gm13875,2,103838954,103839235
Gm44416,6,87171944,87174009
Gm15141,X,154237234,154239503
Arhgap15os,2,44059238,44065324
Gm13879,2,103843415,103843656
Fbxo18,2,11742573,11777582
Ube2e1,14,18282722,18331859
Pbx2,17,34591266,34597400
Isoc2a,7,4877153,4896973
Arhgap15,2,43748824,44395953
Gm13876,2,103888324,103888584
Trav6d-7,14,53007612,53008098
RP23-13G1.9,9,83008603,83042603
Gm13881,2,103912024,103918960
Ighv1-50,12,115119748,115120219
Gm37243,2,75348111,75348705
Klrc2,6,129647496,129660689
RP23-360L22.2,10,45656955,45661912
RP23-286J11.1,10,45581219,45581571
Gm13658,2,75436057,75444179
Mblac1,5,138194314,138195621
Kdm3a,6,71588972,71632990
Gm15346,8,22686265,22695646
Gm27248,9,83073223,83073388
Galnt18,7,111471661,111779977
Gm8706,5,3046516,3048006
Gm13660,2,75458966,75464788
Gm454,5,138203609,138207308
Crtc2,3,90254163,90264125
Gm37790,2,156846370,156849715
Artn,4,117926162,117929763
RP23-80D20.2,9,39074102,39075735
Gm13655,2,75632638,75633382
5430405H02Rik,2,156844351,156862963
Spink12,18,44104407,44108543
Nkiras1,14,18271136,18283942
Tsga8,X,83486678,83487924
RP23-13G1.8,9,83098224,83106330
Gm43645,5,138207508,138207972
Igkv12-47,6,69750854,69751331
Gm7039,6,133113928,133114273
Olfr938,9,39077698,39078887
Mrpl2,17,46646229,46650139
Gm14769,X,84063333,84063764
Gm11434,11,83800464,83801092
RP23-135K11.2,8,111318037,111318430
Tgif2,2,156840007,156855570
Gm14770,X,84879887,84880198
Gm43481,5,134267065,134270736
Klk1b22,7,44112673,44116922
Gm43480,5,134298798,134299213
Gm43529,5,3056621,3057032
Mlkl,8,111311797,111338177
Gm28159,Y,80220073,80220768
Gm44868,7,129658928,129731647
Trmt10a,3,138143448,138159821
Gm12576,11,83817682,83849493
Dmd,X,82948870,85206141
Gm18747,16,19018055,19018702
Gm33248,7,129667405,129693400
Shank3,15,89499623,89560261
RP23-204B12.4,18,44116263,44119567
5530400C23Rik,6,133292216,133295792
Zfp239,6,117862100,117873291
Nectin2,7,19716644,19750483
Nkx3-1,14,69190638,69194662
Gm28160,Y,80239443,80239757
AY761185,8,20943694,20944710
Gm5684,17,54002372,54003332
Fam124b,1,80198706,80218473
Mrpl22,11,58171661,58179565
Gm37966,17,54223513,54223838
Gm34149,6,133309929,133312011
1700025K24Rik,17,54352583,54370074
Gm10267,18,44156395,44159873
Gm45126,7,44117492,44119801
Gm44239,6,133379384,133381019
Prdm8,5,98167198,98188991
1700003I22Rik,1,56018978,56020203
Gtf2i,5,134237834,134314760
Defa21,8,21025545,21026516
Gm5885,6,133529189,133532762
Gm28157,Y,80241172,80244513
Nxpe5,5,138225898,138253363
Mtrf1l,10,5811887,5823910
Gm36996,3,45332161,45332410
Gm10088,16,19028232,19028654
2610316D01Rik,3,45280437,45378260
A730035I17Rik,5,98183121,98185984
Gm28158,Y,80388569,80389264
Olfr939-ps1,9,39084499,39095161
Amy1,3,113555710,113606699
Gpsm3,17,34589806,34591754
RP23-80D20.6,9,39096967,39097615
Spink11,18,44190045,44196177
Tomm40l,1,171216011,171222514
1110008F13Rik,2,156863128,156873563
Klk1b23-ps,7,44132647,44133466
Slfn14,11,83275110,83286726
Gm45122,7,44123258,44135543
Olfr941-ps1,9,39104049,39104983
Tbcb,7,30224131,30232272
Tor2a,2,32757234,32762244
Gm12336,11,75422731,75423340
Phb,11,95666957,95680773
Gm28900,1,56451407,56451562
Gm12337,11,75427753,75428152
Gm44778,7,129833046,129853779
Myh13,11,67321658,67371586
Ndc1,4,107367784,107416346
Sla2,2,156872457,156887192
Mrpl39,16,84717576,84735742
D2hgdh,1,93824909,93852348
Caskin2,11,115799183,115813639
Polr2i,7,30231948,30233390
Gm10313,8,46254677,46255678
Iglj3p,16,19066371,19066408
Wfs1,5,36966104,36989205
Gm8575,8,46279672,46280192
Ect2l,10,18128903,18210890
Iglc3,16,19065230,19065681
Iglj3,16,19067041,19067078
Olfr984,9,40096515,40114206
Gab1,8,80764438,80880519
Iglc1,16,19061618,19062071
2010309G21Rik,16,19051367,19106749
Iglj1,16,19063225,19063262
Tomm40,7,19701313,19715438
Iglv1,16,19085017,19085500
Hscb,5,110829070,110839777
Gm42505,5,37983693,37986070
Rgs18,1,144752683,144775435
Rbm18,2,36116079,36136773
Gm15609,15,89520096,89523677
Gm9379,3,124588512,124589157
Gm21257,Y,80463234,80463929
4930524N10Rik,X,154339225,154343392
Gm19617,5,148456838,148457145
Gm42825,3,124839509,124936860
Gm28161,Y,80493027,80493640
Eif2ak4,2,118388618,118475234
Gm12473,4,43631539,43641533
Gm28695,Y,80529823,80530519
C920008G01Rik,14,53020416,53020991
Gm9381,3,125042262,125043273
Gm8644,X,157650704,157651299
Gm28511,8,91865871,91872995
Gm43762,5,38027715,38028009
Fchsd1,18,37957431,37969774
Txlng,X,162778919,162829454
Fbxw4,19,45578254,45660312
Gm7551,7,65784859,65785932
AA465934,11,83291699,83294632
Ube2dnl2,X,114907582,114908510
Zfp867,11,59461197,59472474
Lime1,2,181380078,181383628
Mettl23,11,116843278,116854263
Gm7997,8,80770691,80771670
Gm31105,8,80879940,80881169
Trav13d-3,14,53032848,53033419
Il1f8,2,24153161,24160519
Fgf5,5,98254184,98277030
Gm30214,14,53032417,53039466
Gm37762,14,69209569,69213129
Gm28240,1,56531824,56533876
Gm7709,5,88062516,88064373
Gm5646,X,154399578,154402044
Gm14248,2,156889464,156890007
Gm839,6,89211165,89216237
Muc5b,7,141839070,141873084
Gm42623,5,88070946,88071324
Gm12753,4,34130854,34134800
Gm14247,2,156892882,156893118
Gm8569,X,154436056,154436702
Gm14278,2,156888854,156915383
Tmem100,11,90030348,90036508
Ccdc124,8,70868227,70873935
Slc38a6,12,73286779,73354049
Hsfy2,1,56636044,56637435
Gm28515,8,91907565,91913066
Olfr985,9,40126308,40130184
Rbm8a,3,96629933,96633791
Gm15171,X,157663598,157663931
4930555B12Rik,X,114926989,114928600
Gm20512,7,19715016,19721731
Gm13428,2,36137339,36137703
Camk1,6,113334124,113343984
Gm8648,X,157667565,157667785
Gm45611,8,91974095,91991947
Mrrf,2,36136389,36190647
Gm42878,5,121518613,121545482
Gm12751,4,34354043,34354423
Stk-ps1,17,36397444,36398517
Gm36210,7,4898450,4906516
Gm4914,X,114948913,114949371
Traj61,14,54155005,54155076
H2-M10.5-ps1,17,36407439,36409549
Samt4,X,154482002,154484682
Gm12752,4,34380171,34380981
Gm45333,8,91997594,92009006
St6gal2,17,55445382,55514581
Gm15361,X,74494379,74494822
Ctns,11,73183596,73199042
Gm12754,4,34389394,34389847
Traj60,14,54155933,54155986
Gm7429,X,114980970,114981317
1110008E08Rik,16,90554164,90554886
Mfsd11,11,116852440,116875635
Gm12351,4,34457890,34458181
Gm44204,6,89257820,89259136
Trav8d-2,14,53042428,53042891
Duxbl1,14,25978577,25990088
Igkv12-46,6,69764523,69765022
Stk38l,6,146724995,146778812
Scn7a,2,66673425,66784914
Gm5943,X,114989150,114989608
Trav16d-dv11,14,53047287,53047821
Gm28516,8,92024442,92038438
Gm6486,5,3070743,3072522
Gm37731,1,159595148,159597384
Tmem94,11,115765433,115799366
Tnr,1,159523769,159931729
Gm5320,7,4909038,4910556
AA645442,2,27326704,27331297
Gm7648,7,7585300,7596549
Gm44983,7,4908886,4912357
Samt2,X,154575228,154579360
Gm19807,17,37130909,37131575
Slc2a4rg-ps,2,181384250,181387586
Vav2,2,27262104,27427033
Gm15362,X,74504015,74504402
Gm11874,4,16120759,16120888
Gm17018,19,45560615,45579763
Gm7651,7,7608627,7614771
4930477O15Rik,5,121503513,121504601
Npepps,11,97205842,97280638
Ndrg3,2,156927345,156992056
Ogg1,6,113326972,113335068
Gm15546,5,121471563,121472388
Gm6428,1,36601802,36602146
Igkv5-45,6,69775750,69776344
Olfr93,17,37140423,37152051
Olfr986,9,40180920,40190134
4933433G15Rik,9,75410184,75417709
Gm44245,6,133563937,133564168
D430040D24Rik,1,36557701,36565613
Gm17806,3,9656520,9656902
Gm34224,6,133597285,133599305
Alg5,3,54735539,54751318
2810408A11Rik,11,69897352,69900987
Vmn2r-ps37,7,7642172,7645360
Lmo2,2,103957986,103981878
Gm34314,6,133617235,133619197
Gm3053,5,3090769,3095074
Gm11599,1,62660839,62661716
Fam178b,1,36562692,36683183
Ubl3,5,148504635,148552789
Zbtb46,2,181387762,181459426
Gm15364,X,74510946,74511530
Fxyd5,7,31032722,31042481
Trav13d-4,14,53072763,53073274
Vmn2r34,7,7670887,7689513
Rpl9,5,65388364,65391444
Gm14829,X,100329692,100330829
Gm15142,X,154635551,154639147
Gm14828,X,100337514,100338668
Gm8577,X,154774453,154775438
Igkv12-44,6,69814631,69815154
Leo1,9,75441524,75466432
4921524J17Rik,8,85408759,85432833
Eda,X,99975606,100400762
A730049H05Rik,6,92816478,92847174
Gm12250,11,58187739,58189012
Gm28696,Y,80536406,80539754
Inpp5b,4,124741850,124801511
Tnfaip2,12,111442469,111455018
Gm43923,6,93194941,93197851
Gm43530,5,3099390,3099663
Gm44220,6,93241720,93244206
1700051O22Rik,8,85432686,85433323
Gm15737,6,92869357,92884411
Gm5125,X,102106603,102107226
Gm20791,Y,80681811,80682503
Gm45594,8,85414275,85414515
Gm5313,6,93137004,93137990
Gm44270,6,146762581,146763814
Sh2d6,6,72513644,72521634
Rell2,18,37955079,37959179
Zfp628,7,4915217,4922002
Gm36936,9,72728140,72730888
Cel,2,28555795,28563403
Adamts9,6,92772699,92943492
Gm37955,9,72716960,72717171
Nudt2,4,41465151,41480926
A530064N14Rik,9,72687224,72688715
Mag,7,30899176,30914873
Abhd16b,2,181493206,181494980
Nedd4,9,72662346,72749852
Smr2,5,88086556,88109053
Gm13998,2,119878069,119878403
C330019F10Rik,11,107511403,107527220
Myot,18,44334074,44355724
Gm10530,1,159614749,159684876
Pin4,X,102119447,102127669
Gm4989,X,74566958,74567706
Gmppa,1,75435930,75443179
Gm38039,1,159928390,159931726
Tax1bp3,11,73177083,73183162
Gm13381,2,28562197,28576698
Igkv5-43,6,69823355,69823943
Scn8a,15,100869858,101045938
Gtf3c5,2,28566311,28583751
Ip6k2,9,108783796,108806337
Gm11494,11,90134842,90143624
Gm8715,5,3123777,3127383
4931422A03Rik,2,103966943,104028361
Snx27,3,94497544,94582716
Igkv12-42,6,69834792,69835241
Zscan20,4,128583539,128610098
Tpd52l2,2,181497142,181517966
Vhl-ps1,17,37164373,37164969
Ppp4r1,17,65782573,65841926
2310015K22Rik,1,80225044,80228792
RP23-220F20.2,11,90187683,90251255
Srsf2,11,116849901,116853094
Fbxo3,2,104027721,104063240
Gm37932,1,80255031,80256197
Gm14905,X,115280377,115283443
9530026P05Rik,6,92940329,93272979
Mmd,11,90249456,90278589
Gm44205,6,89269511,89285725
Sema4c,1,36548639,36558349
Gm45332,8,92152096,92158266
1700013A02Rik,5,148553217,148553861
Wdr24,17,25823627,25828730
Gm6461,X,115443399,115444031
Gm29815,5,148613467,148613644
Dmpk,7,19083849,19093821
Gm45335,8,92172587,92189124
Irgm2,11,58199618,58222782
Gm36186,5,148711466,148718397
Gm5944,X,115458894,115459894
A830035A12Rik,11,107531757,107548373
Gm44224,6,93079108,93080570
RP23-220F20.4,11,90188108,90267581
Jmjd6,11,116837432,116843449
Gm44779,7,44193194,44195628
Cyp2b26-ps,7,26134753,26148592
Gm45136,7,44156844,44157786
Klk1b4,7,44207435,44211754
Helz,11,107547930,107693826
Gm7265,9,72691549,72695050
Gm42622,5,88144704,88145058
Klk1b3,7,44198191,44202352
Gm42621,5,88196988,88201407
Tollip,7,141874813,141918507
Igtp,11,58199556,58207591
Helt,8,46292039,46294671
Gm44247,6,133706870,133707146
Trav14d-3-dv8,14,53078452,53079045
Gm42164,5,88210659,88211037
Lipt2,7,100159277,100161365
Klrc1,6,129666015,129678973
Gm12915,4,124735730,124751354
Gm44252,6,133732049,133732378
Gm7048,5,88231350,88233240
Gm20841,Y,80756339,80757034
Klk1b24,7,44188236,44192455
Gm6266,6,146782469,146783274
Gm13600,2,66863262,66864775
Cldn34b1,X,154886805,154890267
Gm13602,2,66942558,66943050
Snx1,9,66088133,66126587
Gm7714,5,88268919,88282835
Trav15d-3,14,53082354,53082520
Gm44605,7,44202703,44204293
Gm21841,Y,71364314,71365009
Klk1b16,7,44136767,44141610
Steap3,1,120190757,120272705
Trav7n-4,14,53091346,53091875
Defa23,8,21055047,21056016
Prol1,5,88317312,88328814
Hnrnpa3,2,75659261,75669407
Olfr1326-ps1,X,74569375,74574888
Gm16143,10,63055603,63057467
Gm34821,7,100171416,100227207
Polr2c,8,94857450,94873535
Tmem258,19,10204014,10207824
Pbld2,10,63024315,63077962
Kcne3,7,100176502,100184869
Gm18985,5,3212335,3213694
Fa2h,8,111345135,111393824
Mgat4b,11,50210890,50235103
Amtn,5,88376108,88385916
RP23-113K14.1,3,68916499,68917323
Gm20690,3,68901830,68902144
Gm20689,3,68900171,68900449
2210417A02Rik,5,148741840,148743139
Igkv12-41,6,69858420,69858884
Ift80,3,68892499,69004570
4930505K14Rik,5,148777963,148783080
Gm14537,X,20391709,20392501
Gm31748,14,69284350,69285846
Gm27223,14,69284606,69305355
Apex2,X,150519519,150589868
Gm15407,5,148820767,148837798
Tex38,4,115779834,115781018
Ciz1,2,32352327,32380970
Gm20236,14,69277601,69282140
Rp2,X,20364481,20405653
Slc25a37,14,69241848,69285112
Gm43431,5,88423215,88423554
Fen1,19,10199132,10204169
Gm7721,5,88427813,88428358
Mthfs,9,89210676,89377713
Olfr1325,X,74592679,74597578
Magea6,X,154924012,154935987
Synb,14,69289344,69294299
Chek2,5,110839979,110874145
Tspan3,9,56131725,56165477
Gm7067,7,100197100,100198348
Gm10143,19,10198368,10202384
Trav9n-1,14,53101801,53102265
Gm27222,14,69259146,69262037
Gm32536,6,124951321,124951765
Gm28899,Y,80785961,80786575
Gm1322,2,67173834,67184950
Magea3,X,154948543,154949505
Gm42846,5,34173887,34174887
1700012C14Rik,6,30460128,30463313
Gm13598,2,67157646,67194735
Mxd4,5,34173883,34187720
Gm11592,11,97280128,97282897
Igkv5-40-1,6,69868627,69869193
Dsn1,2,156995265,157007154
Gm8856,1,144952928,144954071
Gm21722,Y,80822758,80823453
Rgs17,10,5825663,5922400
Zfp202,9,40192316,40213604
Klhl10,11,100441917,100457022
Gm6550,1,145164951,145165943
5930430L01Rik,5,148990056,148995223
Gm6375,6,133761445,133763062
Dok4,8,94863828,94876330
Gm7656,7,70490848,70491851
Gm43773,3,94533805,94535966
Gm43768,3,94575777,94577034
Gm15406,5,148948897,148996566
Gm5262,1,145183894,145184889
Gm43774,3,94536611,94537488
Bcl2a1b,9,89199209,89207827
Gm44811,7,70531222,70531449
8430423G03Rik,5,148950250,148951658
Wdr66,5,123252102,123327484
Gm15409,5,148959278,148961712
Ighv1-51,12,115131369,115131801
1810059H22Rik,5,148953748,148970122
Hlf,11,90336536,90390895
Gm38091,9,89259525,89263395
Gm29094,9,89199379,89215471
Tlr12,4,128615443,128618619
Gm45588,7,111857926,111858555
Gm42490,5,8327332,8329395
Gm15772,5,3236431,3236868
Gm42732,5,73311364,73312560
Hnf1b,11,83850063,83905819
Mrps18c,5,100798627,100804471
Gm42733,5,73308059,73308577
Trav6n-5,14,53104871,53105344
Gm12958,4,128637471,128638447
Katnal1,5,148871584,148929320
Ociad1,5,73292784,73314069
Gm6645,X,154971207,154974721
Gm9085,X,20382750,20383821
Gm7964,7,83755904,83757281
Gm28668,Y,71407250,71410489
Hspa4,11,53259814,53300457
Gm43275,5,118618294,118619313
Gm44567,7,34362701,34365331
Gm43274,5,118644373,118649372
Gm43052,5,118687618,118689245
Alas2,X,150547375,150570638
Gm43785,5,118561757,118563101
Rpl4,9,64173375,64178666
Fam96a,9,66126611,66138955
Lsm14a,7,34344646,34393315
Gm43051,5,118707402,118710079
Gm15857,5,123293638,123310324
Ift20,11,78536361,78541737
Gm43788,5,118602716,118605132
Adam22,5,8072352,8368160
Defa35,8,21065038,21065996
Rpl35a-ps6,5,123255481,123255813
Gm12410,4,45715169,45716421
Gm11649,11,107531931,107532305
Med13l,5,118560679,118765438
Gm20690,3,68901807,68902161
Gm829,4,45683589,45723338
1700051A21Rik,11,72266421,72268575
Gm20691,3,68903820,68904152
Defa-ps3,8,21078141,21078846
Gm18588,3,68902267,68902758
Gm45334,8,92233125,92247959
Gm43511,5,100798749,100801045
Arntl2,6,146796055,146833529
Gm20869,Y,71469449,71495632
Gm14903,X,115574818,115581585
Gm28392,1,145315156,145315548
Slc13a5,11,72241989,72267222
Stx1a,5,135023482,135051100
Gm42791,5,148893775,148995147
Gm13410,2,24178834,24180317
Cyp2b9,7,26173411,26210661
Reep6,10,80329953,80336441
Gm15411,5,148995651,149015813
Acot12,13,91741512,91786148
Gm14832,X,100156635,100156956
Gm14276,2,156994173,156994892
Traj59,14,54156133,54156196
Gm12350,4,34485832,34486293
Gm15408,5,149006962,149012776
Gm43600,5,148926688,148926910
Nat14,7,4922028,4925006
Gm15410,5,148946592,148948866
Gm12409,4,45762377,45764223
Gm20501,7,141943704,141949539
Gm12412,4,45776882,45777209
Soga1,2,157015799,157079254
Terf2ip,8,112011398,112020528
Gm8902,7,26245899,26247958
Vmn1r-ps86,7,26255080,26255626
Stx18,5,38038742,38137765
Ap1ar,3,127807007,127837523
Aldh1b1,4,45799022,45804604
Traj58,14,54157280,54157342
Sh3bgrl3,4,134127406,134128789
4833422C13Rik,13,91701665,91741872
Gm20416,9,7965838,7977004
Traj57,14,54158505,54158569
Ighv1-52,12,115145487,115145919
Dnajc5,2,181520485,181555133
Gm4265,7,129962165,129978669
Igkv12-40,6,69879350,69879819
D530037P16Rik,3,145419326,145420352
Crocc,4,141016637,141060550
Plxna1,6,89316314,89362620
RP23-10E9.1,8,112236613,112236966
Col24a1,3,145292472,145552011
Yap1,9,7931999,8004596
Ubxn11,4,134102570,134127593
Ighv1-53,12,115158403,115158835
Ssbp2,13,91460283,91703429
Stx5a,19,8741413,8756069
Klhl11,11,100462614,100472741
Igkv5-39,6,69900424,69900977
Vmn2r118,17,55592341,55624672
Traj56,14,54159263,54159325
Gm12263,11,59474284,59475765
Tldc2,2,157087055,157096482
Gm12764,7,34388665,34394779
Clca3b,3,144822623,144849357
Gm2260,14,26016431,26025837
Gm12774,7,34383659,34384074
Lamtor4,5,138255482,138259398
Lgals1-ps1,17,36435903,36436270
2310043P16Rik,7,34389732,34393612
Gm12262,11,59481973,59482277
Ighv8-6,12,115165777,115166220
Fam171a1,2,3114224,3227806
Rpl9-ps9,17,36444177,36444749
Gm12732,11,77639854,77640033
Gm5640,X,74639119,74645635
Pfkfb1,X,150588229,150643878
Gm12733,11,77644144,77644910
Fam163a,1,156075966,156205026
AI464131,4,41495604,41503076
Gm43653,3,127836911,127838644
Gm43654,3,127829555,127832971
Tifa,3,127789805,127832164
Slc5a5,8,70882889,70892757
Gm42426,5,3270319,3284584
Hes7,11,69120404,69124055
Gm16215,3,144847574,144848210
Gm5886,6,133763999,133767404
Clca4c-ps,3,144861826,144896011
Cryba1,11,77718615,77725283
Btf3,13,98309896,98317006
Hmgn3,9,83109948,83146685
Nxpe1-ps,9,48418321,48431959
Obox3-ps8,17,36452294,36453253
Jam2,16,84774123,84825928
Gm8296,1,45513532,45514055
Gm35842,7,70548869,70554924
Mga,2,119897228,119969581
Gm5616,9,48450400,48450783
Gm38269,1,145323394,145326691
Itga10,3,96645584,96664519
Gpt2,8,85492576,85527560
Gm44813,7,70571322,70574414
Tube1,10,39133976,39152542
Slc2a9,5,38349273,38503143
Gm44812,7,70574834,70585751
Nufip2,11,77686155,77741921
Gm8190,5,108154245,108154830
Ccdc18,5,108132875,108233628
Gm16335,13,100770464,100770772
Samhd1,2,157097533,157135265
Cenph,13,100759674,100775899
Slc17a7,7,45163949,45176142
Gm44089,6,86084366,86087080
Gm15048,X,144147310,144149173
Gm44207,6,89345140,89346563
Gm26811,6,89304630,89327621
Add2,6,86028681,86124409
A730046J19Rik,X,144153695,144166274
Tmbim4,10,120201590,120224917
Gm14906,X,115682136,115682525
Gm15235,3,94589466,94589659
Gm13259,4,133280857,133281312
Gm14907,X,115808537,115809390
Gm13599,2,67309659,67396491
Rpl31-ps11,3,94604408,94604784
Gm44916,7,82715592,82717785
Dnm1,2,32308471,32353338
4930449I04Rik,5,45857642,45858764
Gm14904,X,116198189,116198523
Efl1,7,82648614,82777852
Gm11191,11,77747041,77748041
Brinp3,1,146494760,146902472
Gm42957,3,96635474,96653101
Gm9780,14,26027282,26042711
Wisp3,10,39150970,39163794
Gm43220,6,69927621,69927902
4930405L22Rik,5,45926818,45932409
E2f4,8,105297663,105305370
Dclre1a,19,56529167,56548222
Armcx1,X,134717963,134721917
Pex11b,3,96635376,96645366
Crnde,8,92326033,92356120
Gm9828,13,98316422,98324415
Xirp2,2,67446002,67526614
Nsg1,5,38137192,38159907
Igkv12-38,6,69943186,69943648
Gm10484,5,5170394,5175152
Pin1,9,20652095,20666584
Gm43111,5,4868348,4870266
Gm43112,5,4819506,4822627
9530034A14Rik,3,145416012,145418044
Gm43113,5,4826340,4828093
Atpaf1,4,115784812,115818828
Gm43577,5,5154571,5157914
Gm7118,5,108145226,108146907
Gm43727,5,5304356,5307002
Gm43083,5,108210959,108211434
Gm43623,5,5137445,5140107
Gm43728,5,5309002,5311623
Gm38113,1,156227093,156227293
Gm20589,6,113352636,113355165
Gm38063,10,63098349,63098690
Cdk14,5,4803391,5420312
Gm8199,X,144232759,144233581
Mettl21c,1,44009408,44020034
Gm16299,19,53819354,53825128
Rbm20,19,53677306,53867080
Cfap161,7,83774101,83794880
Gm38187,1,146477647,146482355
Mup-ps23,4,61855404,61856554
Gm29514,1,146419436,146495060
Kap,6,133849851,133853762
Gm21817,8,92336668,92339250
Irak3,10,120141648,120202130
Mroh2a,1,88226986,88262289
Gm29054,9,83145915,83147364
Gm42858,5,38134394,38136097
Cpxcr1,X,116448944,116478783
Gm15583,1,146725581,146729090
Gm2065,9,83114108,83116864
Gm15838,1,44018470,44018649
Stoml2,4,43027690,43031710
Gm15584,1,146809831,146841696
Gm5263,1,146420436,146421036
Gm37200,9,104043605,104045776
A230059L01Rik,1,146802965,146807340
Trav10n,14,53122114,53122610
1700120B22Rik,10,63243068,63244153
Gm44218,6,49542982,49543727
Nphp3,9,104002544,104043818
Gm44809,7,70592890,70593882
Gm44219,6,49727251,49727523
Gm13601,2,67491044,67516525
4930438A08Rik,11,58274799,58294289
Gm44808,7,70638610,70639917
C1ql2,1,120340582,120343174
Gm16298,19,53767891,53768310
Magea8,X,154985775,154995850
Gm13429,2,36202314,36212903
Gm9227,12,115175875,115176440
Gm37262,1,80326177,80327994
Gm34783,7,70912518,70912820
Gm44810,7,70870913,71073345
Cul3,1,80264923,80340480
Xlr5d-ps,X,74652679,74659486
RP23-75I5.1,7,82695399,82698272
Hjurp,1,88262471,88277633
Gm15860,5,123332726,123344437
Gm13431,2,36216777,36222934
Gm44917,7,82677546,82678065
Ighv1-54,12,115193675,115194134
4933406J10Rik,7,82743368,82755644
Trav6n-6,14,53132679,53133137
Ift46,9,44767908,44793447
5830487J09Rik,5,123366472,123368919
Cebpzos,17,78916500,78920306
Ambn,5,88455991,88468531
Bcl7a,5,123343834,123374992
Pag1,3,9687479,9833679
Igkv5-37,6,69963312,69963873
Gm7309,6,129689618,129690198
Gm4891,8,80933677,80934588
Ighv1-55,12,115208095,115208591
Gm27048,8,80933534,80938667
Clca4b,3,144910921,144932529
Gm7142,12,115224859,115225444
Pdap1,5,145128769,145140238
1700012E03Rik,1,120435805,120438455
Gm13603,2,67765977,67766059
Gm43968,6,133864054,133864720
Gm13604,2,67707290,67707771
Magea2,X,155027201,155093666
Gm8956,6,133931585,133932409
Gm16537,15,99715543,99724474
Gtdc1,2,44564412,44927657
Gm37964,2,67898596,67903500
Gm7931,5,46414344,46414614
B3galt1,2,67565871,68122689
H2afb2,X,116681178,116681525
Vmn1r184,7,26266831,26267775
Tdrd5,1,156255296,156303664
Gpd1,15,99717515,99725005
Gm43093,5,46502129,46503341
Slc35a5,16,45139573,45158706
Gm16373,X,116886881,116887183
Magea5,X,155053061,155063145
Gm43092,5,46794680,46796533
Gm12766,7,34438137,34520885
Gm26743,2,67677031,67687282
Gm12780,7,34495421,34496065
Magea1,X,155088686,155089793
Vars,17,35000987,35016322
Gm13607,2,68081791,68082329
Gm43601,5,47153651,47154595
Rexo2,9,48468512,48480623
Fga,3,83026076,83033627
Trav11n,14,53135122,53135678
1700001C02Rik,5,30466047,30484088
Arpc1b,5,145114215,145130705
Nfe2l2,2,75675513,75704641
Trav7n-5,14,53146919,53147448
Gm16337,3,9757607,9786142
Trav12n-1,14,53155512,53156088
Golt1a,1,133309800,133323026
E030042O20Rik,2,75704770,75710024
Gm37902,1,80274731,80276413
C630043F03Rik,4,72201348,72215352
Gm13656,2,75729592,75730172
Mis18a,16,90719312,90727404
Mup-ps17,4,61857321,61857876
Gm44964,7,26292378,26292768
Cldn34b2,X,155124917,155128412
Wdtc1,4,133292459,133353481
Zfp512b,2,181582103,181592803
Mup-ps18,4,61874700,61883296
Defa25,8,21084442,21085285
Gorasp2,2,70661576,70712636
Trmu,15,85879312,85897394
Ighv1-56,12,115242802,115243235
Gm2735,9,59844327,59844603
Gm14919,X,116896951,116897340
Trav13n-1,14,53162399,53162910
1600012P17Rik,1,158967701,158980463
Kiss1,1,133309827,133329722
Gm7613,9,59766717,59767203
Gm11235,4,72542666,72542998
Gm28481,Y,71592909,71593223
Gm7019,12,115244185,115244553
H2afb1,X,117014757,117015104
Nckipsd,9,108808368,108818844
Gm6689,8,21091366,21091846
Elof1,9,22112989,22117172
Gm14918,X,117310241,117310508
Ighv8-7,12,115258136,115258432
Myo9a,9,59750896,59928866
Aldoart1,4,72850583,72852634
Gm14913,X,117417744,117418836
Gm17590,5,3472861,3480873
Gm28040,1,133309827,133329901
Gm13477,2,44788265,44790951
Gm42435,5,3498625,3500072
Gm30948,12,115262684,115287908
Akirin2,4,34550937,34566908
Gm6491,X,117525212,117526905
H2-M10.4,17,36458917,36462334
RP24-296K18.6,9,104104436,104104800
Ighv1-57,12,115268424,115268856
RP24-296K18.5,9,104101135,104101613
Cdk6,5,3341485,3531008
Gm42779,5,110876603,110877273
A430050A11Rik,1,156290102,156290747
Pappa2,1,158711727,158980490
4930518J20Rik,1,156303489,156304966
Marco,1,120474538,120505024
Uba5,9,104046599,104063134
Gm37294,1,160041701,160044331
Irx5,8,92357625,92376286
Gm7063,1,45519774,45520754
Dr1,5,108268897,108280526
Pdcl3,1,38985608,38997238
Cops7a,6,124958413,124965538
Gm20452,17,36500360,36501581
Rap1gap,4,137664726,137729861
Enam,5,88487975,88506049
Orc3,4,34570796,34614944
Gm8304,1,45602026,45602753
Gm28579,X,117534546,117534914
RP23-79K4.4,8,56560916,56561388
Gm35025,9,108823938,108825098
Fbxo8,8,56551090,56593939
