Gene name,Chromosome/scaffold name,Gene Start (bp),Gene End (bp)
SVBP,1,42807052,42817252
DEPTOR,8,119873717,120050913
RP11-1079J22.1,12,84939524,84939668
KB-1471A8.1,8,119867419,119874488
ZNF705G,CHR_HSCHR8_3_CTG1,7348669,7377169
RP11-156E8.1,1,244969350,244971088
RP3-393E18.2,6,159586955,159589169
RP11-151H2.1,15,75022980,75023256
AC008694.3,5,157682985,157690878
RP11-290P14.2,1,245123471,245124450
CYP2D6,22,42126499,42130906
RP4-669P10.20,22,42138060,42139726
TTC12,11,113314529,113383544
GDPD1,17,59220467,59275967
LA16c-306E5.2,16,3365099,3479550
RP3-424M6.4,12,110501614,110503441
RP11-165M1.2,16,12372812,12373899
RP11-276H1.2,16,12093627,12095307
OSBPL7,17,47807372,47821834
RP11-85I17.2,8,119838736,119840385
FAM66B,CHR_HSCHR8_3_CTG1,7318568,7348494
SLC9A3P1,10,50150603,50152287
TBC1D3I,CHR_HSCHR17_7_CTG4,36254011,36264925
ZBTB41,1,197153680,197200542
FAM109B,22,42074251,42079441
KB-1615E4.3,8,100492528,100493713
CTD-2139B15.5,5,17369225,17375577
LILRP2,CHR_HSCHR19LRC_PGF2_CTG3_1,54459891,54465035
LBR,1,225401502,225428925
LINC00939,12,125958688,125983374
NSUN3,3,94062916,94128545
OR5BB1P,11,59391354,59392292
RP11-359E19.2,8,40114651,40127468
OR5AN1,11,59364412,59365448
RP11-167N4.5,11,73991283,73992180
RP11-127B20.3,4,82374301,82384027
MYO1H,12,109347903,109455523
RP11-735G4.1,6,125370034,125445183
NCAM1,11,112961247,113278436
LINC02134,16,47965672,47971687
DNAAF2,14,49625174,49635230
PRM2,16,11275639,11276480
KRT18P44,X,128714506,128715790
RP1-93H18.6,6,116460739,116463692
RP4-591L5.1,CHR_HSCHR1_1_CTG11,30406695,30413531
MIOS,7,7566872,7608929
OR2C1,16,3355889,3357294
RP11-433P17.1,16,3323192,3323925
RP1-151B14.9,22,37215738,37215891
TRBJ2-2P,7,142796697,142796742
TRBJ2-2,7,142796560,142796610
TRBJ2-1,7,142796365,142796414
SYP-AS1,X,49198966,49202454
ADNP-AS1,20,50930984,50945134
PRRC2A,CHR_HSCHR6_MHC_DBB_CTG1,31602891,31619942
HMGB3P32,16,57603137,57603697
UBE3B,12,109477402,109536705
TRBJ1-2,7,142787017,142787064
DNAH17-AS1,17,78484882,78503056
SELENOP,5,42799880,42887392
ATP5A1,18,46080248,46104334
HSD3B2,1,119414931,119423035
HARS,5,140673173,140692024
RP11-109P14.2,1,37782457,37782885
SSR1P1,6,150384307,150385120
ACTN4P2,1,37776670,37779418
TMSB15A,X,102513676,102516784
HSP90B3P,1,91642516,91644082
FAM216A,12,110468364,110490385
RPS3AP4,14,35468272,35469330
RP13-198D9.4,9,38694263,38720428
RP11-561B11.6,14,35447003,35447625
YWHABP1,9,38643042,38643768
DNAJC8P1,14,35430260,35430631
FAM186B,12,49582885,49605639
RP11-133N21.12,12,49709237,49709336
RP11-10A14.7,8,9255349,9260295
RP11-115J16.3,8,9351238,9358441
NOP58,2,202265716,202303666
CCDC150P1,12,122322122,122324336
RP11-175P13.3,12,100173196,100199783
ZNF555,19,2841435,2860484
CTD-2114J12.1,8,91157285,91158748
AC061992.2,17,78315729,78347798
RP11-134G8.5,1,201518703,201530474
RP11-219G17.9,17,78248193,78251440
SPAG1,8,100157906,100259278
AC000111.3,7,117560733,117564676
KIAA0556,16,27550133,27780369
RP11-129G17.2,10,88259129,88259372
AXL,19,41219203,41261766
NXF2,X,102247161,102326719
CTD-2562J15.4,19,16186276,16189458
APRT,16,88809339,88811944
LINC00588,CHR_HSCHR8_1_CTG6,57291307,57296495
MPG,16,77007,85853
CFTR,7,117465784,117715971
RP11-219G17.6,17,78211618,78211908
RP3-511B24.5,20,41196647,41196938
TBC1D3D,17,38003976,38014902
ZDHHC20P1,CHR_HSCHR6_MHC_SSTO_CTG1,29708627,29709049
RP9P,7,32916815,32943176
GAPDHP60,4,87207092,87208086
CTD-3193K9.11,17,42751289,42751717
RP11-25K19.1,8,59119040,59121346
CACNA2D3,3,54122547,55074557
CTD-2528L19.4,19,37689865,37719188
RP11-585P4.6,12,75333798,75334486
MOXD1,6,132296055,132401545
MAPK1IP1L,14,55051631,55070192
SCAMP5,15,74957219,75021496
SYVN1,11,65121780,65134533
HCG19P,6,30359278,30359911
RPS27P14,5,69469883,69470136
TAC4,17,49838309,49848017
FAP,2,162170684,162245151
SAPCD1-AS1,6,31764310,31765588
RP3-399L15.2,6,114523451,114535875
RHBDF1,16,58059,76355
OR2AG2,11,6767987,6769055
SH3BP4,2,234951973,235055714
BCAS4,20,50794894,50882676
ADAMTSL4-AS1,1,150560202,150574552
RP11-69I8.3,6,131950946,132077393
BRIP1,17,61681266,61863521
LCN1P1,9,133224905,133228591
RPL7P46,16,11027024,11027763
XXbac-BPG116M5.15,CHR_HSCHR6_MHC_DBB_CTG1,32008544,32012073
CNTN2,1,205042937,205078284
RP5-875H18.9,17,50094065,50094647
RP11-641D5.2,3,169447867,169477052
RP11-83B20.3,12,124537844,124539677
MIGA2,9,129036621,129072082
ARPC1A,7,99325910,99366262
TRBV13,7,142535809,142536292
HRAT17,7,112954646,112995634
RNASEH2C,11,65714896,65720947
OR4F7P,6,170639606,170640536
CTD-3023L14.2,8,8561391,8569688
JMJD7,15,41828085,41837581
CTA-398F10.1,8,8414690,8424632
SMC4,3,160399274,160434962
DCAF6,1,167935783,168075843
RBM43,2,151247940,151261879
ETF1P1,CHR_HSCHR6_MHC_QBL_CTG1,30021246,30022535
RPL30P10,8,57392546,57392882
LINC01606,8,57142689,57240298
GSTA2,6,52750089,52763569
TERF2,16,69355561,69408571
CTB-33G10.1,19,49719498,49720081
RP11-243J16.8,20,31808503,31808749
ZNF207,17,32350117,32381886
RP11-10L12.4,4,102828055,102844075
RP11-2H3.6,4,416118,416537
CACYBPP3,6,158515605,158516229
NIP7,16,69339430,69343111
ZNF721,4,425815,499156
IMPAD1,8,56957933,56993844
DHDDS,1,26432282,26471294
RP11-395E19.2,9,66979132,66988373
RP11-744A16.4,17,19219143,19222527
SPATA31A3,9,66986304,66992583
RP11-548H3.1,2,218633256,218634014
LINC00895,22,19565203,19566839
SNRPGP4,17,69318733,69318961
PTEN,10,87863113,87971930
HAUS1P1,5,140581504,140582335
PSMA6P2,X,12825840,12826833
SGTA,19,2754714,2783371
RP11-524K14.1,6,93886900,93889410
HDAC2,6,113933028,114011308
NUDT19P3,6,114019621,114020483
RHOD,11,67056818,67072013
EPC1,10,32267751,32378798
RP1-278E11.3,6,39958414,39958833
RP4-665J23.1,1,90782983,90851657
KRT18P1,CHR_HSCHR6_MHC_MANN_CTG1,28969099,28970429
RP11-347L15.1,17,56803841,56804269
RPS24P13,10,32231849,32232245
C1orf109,1,37681570,37692249
DGKE,17,56834099,56869567
RP11-478C6.1,4,336258,336786
BARHL2,1,90711539,90717237
RP11-501J20.5,10,117239600,117241923
TLL2,10,96364606,96513918
NFE2L3,7,26152240,26187125
RP11-384K6.6,4,118591773,118633729
CROCCP3,1,16467436,16499257
RPS27P22,12,22722229,22722469
IK,5,140647058,140662479
RP11-403E24.1,X,64144872,64147052
HCG22,CHR_HSCHR6_MHC_COX_CTG1,31046568,31052373
HNRNPDP1,X,64044305,64045058
LINC01997,3,169003074,169005466
LRRC42,1,53946077,53968168
DPCR1,CHR_HSCHR6_MHC_COX_CTG1,30930703,30943914
RP11-146I2.1,6,14661829,15090003
RBPJP2,9,66635754,66637197
RPL17P49,X,12395757,12396167
SULT1A4,16,29459889,29464976
RP11-327I22.5,9,66159954,66179430
UNC13D,17,75827225,75844717
MCM5,22,35400063,35425430
OR2A4,6,131700469,131701401
RPL12P30,11,30368148,30368646
RCAN3,1,24502351,24541040
RP1-261D10.2,14,71292729,71321814
RP11-81A1.6,15,79920195,79922455
CTAGE9,6,131708684,131711017
MTHFS,15,79833585,79897379
CMB9-55A18.1,11,58611119,58612642
RP11-454K7.3,14,45369215,45370839
ENPP3,6,131628442,131747418
GET4,7,876552,896436
RP11-62C3.8,9,92339658,92341663
RP11-454K7.1,14,45377268,45389286
GHc-602D8.2,X,101683780,101684449
RP11-454K7.2,14,45502742,45503140
RP1-232L22__A.1,X,101720340,101721709
CHM,X,85861180,86047562
RP3-380E11.2,6,14004920,14006901
IL1B,2,112829751,112836903
MPZL1,1,167721192,167791919
RP11-38G5.4,15,79843547,79844304
RP11-139H14.5,13,46117864,46122699
RP1-232L22__B.1,X,101778969,101780538
ST20-AS1,15,79922771,79926993
RDH13,CHR_HSCHR19_4_CTG3_1,55047223,55079406
ST20,15,79898840,79923702
AC069363.1,CHR_HSCHR17_7_CTG4,36073222,36090476
XRCC6P3,1,220313945,220315565
RP11-29H23.5,1,155614726,155660245
RP11-81A1.4,15,79875920,79878179
ST20-MTHFS,15,79845150,79923754
CCL4,CHR_HSCHR17_7_CTG4,36103979,36106010
RPS4XP11,10,32102522,32103293
RP11-302I18.1,1,220316667,220317599
NECAP2,1,16440672,16460078
CD83,6,14117256,14136918
RP11-569G9.7,1,26326688,26327033
RFKP1,1,240823006,240823433
MSTO1,1,155610205,155614967
RP11-302I18.3,1,220359731,220360183
HNRNPA1P42,1,240919653,240920609
RP11-410C4.5,1,220401122,220404033
RP11-435F13.2,1,240998451,240998794
AIM1L,1,26321859,26360052
SLC2A4RG,20,63739861,63743505
MAP1S,19,17719242,17734516
RP11-231C14.8,16,29380242,29380345
HCG4,CHR_HSCHR6_MHC_QBL_CTG1,29789145,29790119
AC093323.3,4,6673451,6676047
HLA-V,CHR_HSCHR6_MHC_QBL_CTG1,29788252,29794972
RP11-539L10.3,4,6670725,6673830
MPL,1,43337849,43352772
RP11-87C12.2,12,121888809,121921470
CCL3,CHR_HSCHR17_7_CTG4,36088598,36090511
MYL8P,CHR_HSCHR6_MHC_DBB_CTG1,33316901,33317418
MDC1-AS1,CHR_HSCHR6_MHC_MCF_CTG1,30781550,30791666
WDR66,12,121917862,122003927
CARD14,17,80169992,80209331
NOP56P1,CHR_HSCHR6_MHC_MANN_CTG1,28783623,28783994
MDC1,CHR_HSCHR6_MHC_MCF_CTG1,30778290,30796371
SIGLEC1,20,3686970,3707128
XXbac-BPG308K3.5,CHR_HSCHR6_MHC_MANN_CTG1,28837838,28838975
RP11-502F1.1,17,56471142,56473647
ANKFN1,17,55882301,56511659
LINC01623,CHR_HSCHR6_MHC_MANN_CTG1,28859590,28863315
DOCK9-AS2,13,99087819,99088625
RP11-216N14.8,1,153746851,153751227
RPL13P,CHR_HSCHR6_MHC_MANN_CTG1,28861381,28862012
ZNF326,1,89995112,90035531
RP11-539L10.2,4,6687448,6690519
COX20,1,244835322,244845057
RP11-432I13.6,10,45187292,45198323
LINC01015,CHR_HSCHR6_MHC_SSTO_CTG1,29529901,29534049
SLC27A3,1,153774354,153780157
RP11-539L10.4,4,6691995,6692970
RPS6P23,13,99173593,99174490
RP11-438N5.4,11,3961277,3961538
RP3-509I19.6,6,138878899,138879407
AC090587.5,11,3854318,3855509
CUBNP2,10,45232026,45247361
AC090804.1,11,3892398,3892887
SUN1,7,816615,896435
RPS29P20,11,4018948,4019118
AC073415.2,2,108878308,108878460
ABCA7,19,1040101,1065572
HNRNPA1P76,11,3972881,3974237
RPSAP76,9,125194649,125195821
OR6D1P,10,45258185,45259123
LINC-ROR,18,57054559,57072119
CCDC138,2,108786757,108885477
AC090587.4,11,3854612,3855399
RP11-945F5.1,14,45567995,45569069
RP11-306B9.1,14,30370108,30373115
RP11-438N5.2,11,3989163,3989463
CTD-2526M8.3,18,57136322,57146998
AC019349.5,17,41500983,41502409
GAPDHP22,13,99190579,99190991
RP11-502F1.2,17,56368063,56368215
UAP1L1,9,137077501,137084539
RP4-583P15.15,20,63708864,63739103
BNIP3P41,4,49096,50124
RP11-410C4.1,1,220448516,220448853
KRT13,17,41500981,41505705
STIM1,11,3854527,4093210
RP11-410C4.2,1,220455154,220455312
NPIPB11,16,29381354,29404029
BOD1L2,18,57147062,57150300
CLNK,4,10486395,10684865
CYB561D1,1,109494052,109502932
RP4-583P15.10,20,63744689,63745958
TSC22D4,7,100463359,100479279
SLC35E3,12,68746106,68793964
PRELID3BP1,1,220467954,220468808
RP11-369C8.1,14,45706250,45715952
RP11-410C4.4,1,220485104,220487043
NOC3L,10,94333226,94362959
ARFRP1,20,63698642,63708025
PSMD9,12,121888731,121918297
GPR53P,CHR_HSCHR6_MHC_SSTO_CTG1,29538185,29539268
HNRNPU,1,244840638,244864560
SUMO2P1,CHR_HSCHR6_MHC_SSTO_CTG1,29636562,29636845
KLK13,19,51056206,51065114
PDGFRL,8,17576433,17644071
MAN1B1-AS1,9,137084946,137086817
PAOX,10,133379234,133391694
C7orf61,7,100456615,100464271
RP11-140I16.3,8,56222688,56223173
RP11-112L6.3,20,50162765,50166102
RP11-140I16.2,8,56252960,56253372
CRIP1,14,105486317,105488947
NIPSNAP1,22,29554808,29581337
RP11-326L2.1,8,17703988,17706187
RP11-349F21.1,8,17596312,17596378
RP11-112L6.2,20,50166362,50171742
CAMKK1,17,3860315,3894891
CTD-2396E7.9,19,6494320,6494805
HLA-P,CHR_HSCHR6_MHC_QBL_CTG1,29797597,29799601
TUBB4A,19,6494319,6502848
SDR16C5,8,56300010,56320776
RPL7AP7,CHR_HSCHR6_MHC_QBL_CTG1,29800376,29801172
MTUS1,8,17643795,17800917
MSL3P1,2,233865437,233868444
AF146191.6,CHR_HSCHR4_6_CTG12,189977577,189977825
AP3M1,10,74120255,74151063
ANKRD36B,2,97492663,97589965
MICG,CHR_HSCHR6_MHC_QBL_CTG1,29809741,29809872
AF146191.8,CHR_HSCHR4_6_CTG12,189983880,189984585
AC005538.3,2,233865496,233867359
CAMK2A,5,150219491,150290291
DOK3,5,177501907,177511274
RP11-81A1.3,15,79944498,79945578
RP11-886P16.10,19,8444570,8445597
TUBB7P,CHR_HSCHR4_6_CTG12,189986501,189988849
AC092614.2,2,191229165,191246172
LILRA1,19,54593582,54602090
SGSH,17,80206716,80220923
PLRG1,4,154535006,154550435
DUX4L9,CHR_HSCHR4_6_CTG12,190025385,190026643
CTA-256D12.11,22,29513889,29535390
PSMC1P12,1,118614333,118615646
BCL2A1,15,79960889,79971446
DAP3,1,155687960,155739010
G2E3,14,30559123,30620063
PDE6H,12,14973022,14981865
RABEPK,9,125200542,125234158
RP11-81A1.8,15,79984151,79985724
THOC5,22,29505879,29555216
CTD-3149D2.4,19,17727840,17734513
BRD8,5,138139766,138178986
RP5-1024C24.1,11,30584130,30630508
ADD3,10,109996368,110135565
RP11-417O11.5,10,74005137,74027915
LINC01489,12,15001833,15006683
RP4-710M3.2,11,30425552,30429268
RP11-403A21.1,18,23957754,23982556
RP4-630J13.1,1,118712999,118713678
AL928654.7,14,105487199,105492267
VCL,10,73995193,74121363
MPPED2,11,30384493,30586872
LSMEM1,7,112480853,112491062
RP11-107N15.1,2,202032770,202033537
FDPSP3,14,54884849,54886213
RP11-345J4.6,16,29449191,29449625
DNASE1L2,16,2235816,2238711
RP11-345J4.3,16,29464967,29467833
GCH1,14,54842008,54902852
CTD-2396E7.10,19,6494320,6495025
CTD-2526M8.2,18,57169615,57171194
DLEC1P1,3,38325237,38329070
BOLA2,16,29443056,29454964
AC004129.7,7,25185623,25188724
RP11-1334A24.6,5,177494995,177503647
AC079741.2,7,112446164,112446375
LCP1,13,46125920,46211871
RP11-345J4.4,16,29467161,29467578
AC159540.14,2,97523949,97524976
LINC01273,20,50172550,50176671
SMG1P6,16,29425800,29447026
RP1-92O14.3,1,43354684,43358658
HSPA5,9,125234853,125241330
ZNF595,4,53285,88211
IFRD1,7,112422968,112481017
RP11-876N24.7,16,10934258,10934887
HLA-G,CHR_HSCHR6_MHC_QBL_CTG1,29824140,29828314
AC004129.9,7,25212170,25212965
PDLIM7,5,177483394,177497606
RP11-876N24.4,16,10940719,10943021
SLX1B,16,29454501,29458219
RP11-876N24.3,16,10933903,10936280
XRCC6,22,41621119,41664048
MTG1,10,133394094,133421307
CIITA,16,10866222,10932281
ABCB10P1,CHR_HSCHR15_1_CTG3,23183337,23185517
GSN,9,121207794,121332843
TRPT1,11,64223799,64226254
RP11-245J24.1,10,118241564,118267710
RP1-228P16.5,12,48019771,48025382
CTD-2158P22.1,5,119547131,119547606
ZNF506,19,19785839,19821751
LGMN,14,92703807,92748702
RP11-281O15.7,5,179082680,179083194
KRTAP10-5,21,44579455,44580604
HAO2-IT1,1,119368946,119370331
RP11-83B20.10,12,124637999,124638444
GRM6,5,178978327,178996206
RP11-83B20.9,12,124622290,124623069
CTGF,6,131948176,131951373
RP11-12A20.6,9,67723736,67724105
LINC00997,7,32760279,32762924
AC099754.1,3,26619330,26622690
ALG1L5P,7,6923804,6930835
MZF1,19,58561931,58573575
KRT42P,17,41626327,41640199
TRBV10-3,7,142544212,142544685
RP11-15K2.2,17,61460224,61463384
RP1-212G6.4,X,47718002,47719099
RPSAP5,14,103374033,103374916
PDZPH1P,5,103430406,103526618
CTD-2154H6.1,5,103408941,103412511
RP11-263K4.3,12,82512677,82515817
IL36RN,2,113058638,113065382
RP11-263K4.4,12,82505211,82506188
RP11-354M20.3,10,118017487,118045810
PARD6B,20,50731544,50756795
VIP,6,152750798,152759765
KALRN,3,124080023,124726325
C3,19,6677704,6730562
OR2W1,CHR_HSCHR6_MHC_MANN_CTG1,29044178,29045205
XXbac-BPG27H4.8,CHR_HSCHR6_MHC_QBL_CTG1,30829032,30837670
RP11-127O4.2,10,104616102,104616973
FBF1,17,75909574,75941140
RP11-135F9.4,12,100026248,100027540
RP11-453O22.1,1,221133865,221134221
YIPF4,2,32277910,32316594
WBP1LP8,6,170651012,170651338
RP11-21I4.3,5,178825382,178825571
GCSHP5,1,168055901,168056422
RP11-1148L6.8,X,48580741,48581165
CTD-2339F6.1,8,57746149,57750199
RP11-246K15.1,8,57492884,57591559
TRIM65,17,75880335,75897003
CTC-503K11.2,5,103246048,103253519
CNTNAP2,CHR_HSCHR7_3_CTG6,148217288,148419466
TDGF1,3,46574534,46582463
RP5-1182A14.8,1,16642767,16643109
ATP2A3,17,3923870,3964464
AC010967.3,2,52864235,52866631
PCOLCE,7,100602177,100608175
RP11-816J8.1,14,49057713,49077505
E2F5,8,85177225,85217158
RP11-737F10.1,14,48819360,48819593
MTND2P41,4,68049706,68050478
RP11-397E7.4,4,86913266,86914817
RP11-670E13.3,17,56884639,56884819
SEPT10,2,109542982,109614206
KLLN,10,87859161,87863437
METTL14,4,118685368,118715433
RP11-449J1.1,1,224766900,224773341
TAAR2,6,132617022,132624275
LPP-AS1,3,188562238,188568666
LINC01556,CHR_HSCHR6_MHC_MANN_CTG1,28943846,28944506
ZNF141,4,337814,384864
SFTA2,CHR_HSCHR6_MHC_QBL_CTG1,30920912,30921734
AP001350.4,11,58627435,58628528
CDC23,5,138187648,138213343
CFL1P1,10,87817928,87845612
CACNA2D4,12,1791957,1918836
RP11-166B2.5,16,11908208,11908916
AGFG2,7,100539211,100568219
CICP16,4,118635970,118638782
GBAS,7,55951793,56000181
TPP1,11,6612763,6619461
RP11-586D5.3,4,118460224,118460301
MICF,CHR_HSCHR6_MHC_QBL_CTG1,29849309,29849437
BMP3,4,81030965,81057531
OFCC1,6,9596110,10211608
RP11-419M24.4,7,55877912,55878164
RPL21P12,14,103148597,103149408
RPS6KC1,1,213051233,213274773
TANGO6,16,68843604,69085180
RP11-799B12.1,18,24135468,24135829
RP11-108K14.8,10,133390834,133420495
RP5-1160K1.8,1,109539906,109543837
RFPL4AP1,19,55777553,55778900
LINC00871,14,45940943,46501823
ZFP91-CNTF,11,58579172,58624639
AC078882.1,2,142131178,142137830
RP11-327E2.5,10,71364243,71366374
RP11-314D7.3,12,73203815,73206835
RP11-336N8.3,9,78180214,78180693
SLC29A3,10,71319258,71363385
HIPK2,7,139561570,139777778
RP11-563N4.1,2,32165046,32165757
CTC-461H2.2,19,33051515,33051701
SEPT14,7,55793544,55862789
RP11-1334A24.5,5,177476631,177479656
PSPHP1,7,55764797,55773288
HNRNPDLP2,2,158419955,158425303
RP11-292I17.1,12,131596857,131597115
CTD-2026G6.3,3,75540049,75579999
RPSAP28,2,73370019,73370892
NGLY1,3,25718944,25790039
CCL23,CHR_HSCHR17_7_CTG4,36013092,36018001
RP11-38G5.2,15,79832466,79833554
C4orf22,4,80335720,80963756
AC092798.2,3,25749488,25749896
FGF5,4,80266599,80336680
ZCWPW1,7,100400826,100428992
HNRNPA1P60,11,110788026,110788976
GAA,17,80101556,80119879
OR12D2,CHR_HSCHR6_MHC_SSTO_CTG1,29397025,29398093
RP11-473J6.1,8,35862123,35970665
RPS6P20,12,131292068,131293176
TMEM223,11,62771629,62792021
CASC9,8,75223404,75324741
HIGD1AP6,8,75302296,75302574
ENPP7P2,3,75446769,75491202
RPS20,8,56067295,56074581
FSHB,11,30231016,30235261
LINC02009,3,46416524,46423591
CTB-83J4.2,19,54589441,54590287
IL21R-AS1,16,27447669,27453393
NUS1P1,X,47512602,47513483
OR2U1P,CHR_HSCHR6_MHC_SSTO_CTG1,29263569,29264945
HECW1,7,43112599,43566001
RP11-354M1.2,16,68814330,68823526
RHPN1,8,143368887,143384220
RPS2P39,11,108690289,108690956
RP11-214K3.23,12,123960717,123961244
MLKL,16,74671855,74700960
USP17L3,8,7976393,7977985
AP001432.14,21,37221419,37237744
LINC00926,15,57300365,57307769
LTA,CHR_HSCHR6_MHC_DBB_CTG1,31554192,31556464
AC007389.3,2,65589566,65640177
FOXD2,1,47436017,47440691
CRTAP,3,33113979,33147773
ASH1L,1,155335268,155562807
LINC01616,11,29980113,29982392
LRRC70,5,62578735,62581448
AC114763.1,2,138470656,138473932
SCD5,4,82629539,82798857
GPR135,14,59429022,59465342
AC005517.3,17,15506866,15507354
COL19A1,6,69866571,70209976
YWHAEP5,2,138288029,138288793
DIMT1,5,62387254,62403939
RNF11,1,51236271,51273455
RP11-296A18.6,1,51264916,51266074
TMEM183AP1,CHR_HSCHR6_MHC_DBB_CTG1,29577415,29577704
KRT37,17,41420753,41424523
LSM12,17,44034635,44067619
NCAPG2,7,158631311,158704829
CCR3,3,46163604,46266706
RP11-468N14.10,CHR_HSCHR4_1_CTG9,68855376,68858370
NRBP2,8,143833594,143840974
GMEB2,20,63587602,63627041
RP11-203F10.5,1,204277005,204277948
C4A-AS1,CHR_HSCHR6_MHC_DBB_CTG1,31982173,31985702
HNMT,2,137964020,138016364
RP11-144G7.2,11,108105074,108121684
SNX3,6,108211222,108261260
RP11-290O12.1,4,154373886,154374347
RP1-202O8.2,1,6443034,6447006
MTATP6P24,16,10724620,10725296
SPAG11A,8,7847876,7868867
UGT2A3,CHR_HSCHR4_1_CTG9,68810840,68834168
MTND3P13,16,10723424,10723766
PVALB,22,36800684,36819479
RP11-169E6.4,16,47004513,47035385
RP11-169E6.1,16,46973989,46978983
RP11-819C21.1,11,107312132,107316271
FNDC8,17,35121579,35130732
PHF1,6,33410399,33416453
RP11-1084E5.1,8,108895029,109063417
DNAJA2,16,46955362,46973788
RP11-200K12.2,12,130383364,130383890
XRCC3,14,103697609,103715504
RP11-300G22.2,15,89704665,89705415
LYPD6,2,149329985,149474148
ZNF446,19,58474017,58481230
KRTAP9-9,17,41255384,41256364
PPY,17,43940804,43942468
EPHB6,CHR_HSCHR7_2_CTG6,142916237,142932255
AC084121.14,8,7696830,7697093
RP11-1118M6.2,8,7601004,7601267
MYBPC3,11,47331397,47352702
GRAMD2,15,72159807,72197785
OR7E157P,8,7592006,7592916
AP000560.3,11,74830574,74832510
CDC42P3,8,142995850,142996482
CHRM3-AS1,1,239898016,239899872
ACTG1P17,15,82725873,82738904
LINC01490,12,80763154,80770717
RP11-95M15.3,6,137693068,137700415
RP11-356I2.1,6,137730170,137738983
RP11-219H23.2,2,97008368,97009104
RP11-95M15.1,6,137673378,137763984
IMPDH2,3,49024325,49029408
CTB-13L3.1,7,90403434,90513391
PTP4A1P3,7,91107374,91107793
CKBP1,16,46842632,46844618
RP11-267L5.1,8,114282067,114295839
SLC5A10,17,18950345,19022595
RP11-133K1.6,15,40312615,40316634
BBS7,4,121824440,121870497
FABP7P1,1,243624666,243625056
MCUR1,6,13786557,13814568
FKBP3,14,45115600,45135319
NLRP7,CHR_HSCHR19_4_CTG3_1,54931624,54974427
RPL36AP43,15,89687937,89688243
RP11-116P24.1,CHR_HSCHR15_1_CTG1,21342227,21344014
PNLIPP1,10,116577308,116583317
RP11-116P24.2,CHR_HSCHR15_1_CTG1,21328492,21343937
LYPLA2P1,6,33365548,33366243
PAIP1P1,CHR_HSCHR6_MHC_MANN_CTG1,30231863,30233684
REEP6,19,1490747,1497927
RP11-413E1.2,1,89661212,89661353
RP5-943J3.2,1,89820174,89820868
RP11-14N9.2,16,16658227,16664135
SLC39A12-AS1,10,18001786,18010562
DYNC2H1,11,103109431,103479863
TMEM70,8,73972437,73982783
RP11-302M6.4,1,89633140,89933250
UBE2Q2P1,15,84526781,84571216
RP11-272J7.6,10,43728217,43728728
HM13,20,31514428,31577923
GFRA1,10,116056925,116273467
LETMD1,12,51047962,51060424
KLK6,19,50958631,50969673
RP11-231P20.6,1,26218581,26220476
RP11-429B14.1,15,89518523,89591956
RP11-252A24.8,16,74393076,74393183
RP11-76P2.4,10,94314907,94315327
NPIPB15,16,74377878,74392080
DENND1C,19,6467207,6482557
KIF7,15,89608789,89655451
GOLM1,9,86026146,86100173
RP11-55K22.2,6,136900233,136901529
RP11-613M10.6,9,37509150,37510299
LINC00508,12,127940595,127950160
RP13-650J16.1,17,82037905,82039380
ABCF1,CHR_HSCHR6_MHC_MCF_CTG1,30649829,30675633
SLC25A1P1,11,85934737,85935663
RP13-228J13.9,X,155212921,155213638
ZNRF3,22,28883592,29057487
PACRG-AS2,6,163042557,163054161
RP11-242G20.1,10,69684899,69692452
RPSAP9,9,76398699,76399586
KIR2DL4,CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1,54789862,54800938
SBDSP1,7,72829425,72836701
MSC-AS1,8,71828167,72118393
ZDHHC4P1,13,42933858,42934892
HPGD,4,174490177,174523154
RP11-323J4.1,4,98251688,98261630
RP11-417J1.7,5,8659764,8660059
MTCYBP37,5,8619178,8620310
RP6-27P15.2,X,138627077,138627343
RP11-348J12.2,10,93059663,93060426
RP11-318C2.1,11,8768778,8810231
AP001058.3,21,44206525,44207399
RP11-379L18.3,18,34225930,34226429
RBBP4P5,14,21563819,21565084
RPL17P40,16,16094192,16095209
UBE2O,17,76389451,76453206
LINC01050,13,42810366,42812562
RPS20P24,9,72655832,72656192
HIST1H1A,6,26017085,26017732
FKBP1AP4,3,149463779,149464114
HIST1H1PS2,6,26016379,26016601
RP11-244N9.4,9,97634515,97636051
FAM127B,X,135050932,135052196
RP11-689E3.2,18,50098742,50099162
RP11-372H2.1,3,41162287,41168547
MICC,CHR_HSCHR6_MHC_DBB_CTG1,30404972,30409576
MARK2P15,10,83311628,83314475
LST1,CHR_HSCHR6_MHC_MCF_CTG1,31662426,31665209
DLX6,7,97005548,97011039
RP11-25K21.6,1,161513176,161605099
RP11-113C12.4,12,8320381,8369555
RP11-90D4.3,12,8321876,8329614
RP11-145G20.1,4,96310701,96818864
SDHDP2,7,135444461,135444925
GS1-39E22.1,5,135900353,135918161
ANO7,2,241188509,241225377
FCGR3A,1,161541759,161550737
RP11-1C8.6,8,103383078,103383854
IL22,12,68248242,68253607
RP11-801F7.1,2,207753872,207754435
SEPT7P9,10,38383069,38402916
RP11-114B7.6,1,32717734,32725237
RP11-356C4.6,16,90174062,90175865
SPINK13,5,148268180,148286254
PGBD4P3,5,148307298,148308258
AP000281.1,21,32841496,32841811
